Clock cycle: 20, Requests in queue: 0, Servers: 10
Clock cycle: 21, Requests in queue: 0, Servers: 10
Clock cycle: 22, Requests in queue: 0, Servers: 10
Clock cycle: 23, Requests in queue: 0, Servers: 10
Clock cycle: 24, Requests in queue: 0, Servers: 10
Clock cycle: 25, Requests in queue: 0, Servers: 10
Clock cycle: 26, Requests in queue: 0, Servers: 10
Clock cycle: 27, Requests in queue: 0, Servers: 10
Clock cycle: 28, Requests in queue: 0, Servers: 10
Clock cycle: 29, Requests in queue: 0, Servers: 10
Clock cycle: 30, Requests in queue: 0, Servers: 10
Clock cycle: 31, Requests in queue: 0, Servers: 10
Clock cycle: 32, Requests in queue: 0, Servers: 10
Clock cycle: 33, Requests in queue: 0, Servers: 10
Clock cycle: 34, Requests in queue: 0, Servers: 10
Clock cycle: 35, Requests in queue: 0, Servers: 10
Clock cycle: 36, Requests in queue: 0, Servers: 10
Clock cycle: 37, Requests in queue: 0, Servers: 10
Clock cycle: 38, Requests in queue: 0, Servers: 10
Clock cycle: 39, Requests in queue: 0, Servers: 10
Clock cycle: 40, Requests in queue: 0, Servers: 10
Clock cycle: 41, Requests in queue: 0, Servers: 10
Clock cycle: 42, Requests in queue: 0, Servers: 10
Clock cycle: 43, Requests in queue: 0, Servers: 10
Clock cycle: 45, Requests in queue: 1, Servers: 10
Clock cycle: 46, Requests in queue: 1, Servers: 10
Clock cycle: 47, Requests in queue: 1, Servers: 10
Clock cycle: 48, Requests in queue: 1, Servers: 10
Clock cycle: 49, Requests in queue: 1, Servers: 10
Clock cycle: 50, Requests in queue: 1, Servers: 10
Clock cycle: 51, Requests in queue: 1, Servers: 10
Clock cycle: 52, Requests in queue: 1, Servers: 10
Clock cycle: 53, Requests in queue: 1, Servers: 10
Clock cycle: 54, Requests in queue: 1, Servers: 10
Clock cycle: 55, Requests in queue: 1, Servers: 10
Clock cycle: 56, Requests in queue: 1, Servers: 10
Clock cycle: 57, Requests in queue: 1, Servers: 10
Clock cycle: 58, Requests in queue: 1, Servers: 10
Clock cycle: 59, Requests in queue: 1, Servers: 10
Clock cycle: 60, Requests in queue: 1, Servers: 10
Clock cycle: 62, Requests in queue: 2, Servers: 10
Clock cycle: 63, Requests in queue: 2, Servers: 10
Clock cycle: 64, Requests in queue: 2, Servers: 10
Clock cycle: 65, Requests in queue: 2, Servers: 10
Clock cycle: 67, Requests in queue: 3, Servers: 10
Clock cycle: 68, Requests in queue: 3, Servers: 10
Clock cycle: 69, Requests in queue: 3, Servers: 10
Clock cycle: 70, Requests in queue: 3, Servers: 10
Clock cycle: 71, Requests in queue: 3, Servers: 10
Clock cycle: 72, Requests in queue: 3, Servers: 10
Clock cycle: 73, Requests in queue: 3, Servers: 10
Clock cycle: 74, Requests in queue: 3, Servers: 10
Clock cycle: 75, Requests in queue: 3, Servers: 10
Clock cycle: 77, Requests in queue: 4, Servers: 10
Clock cycle: 79, Requests in queue: 5, Servers: 10
Clock cycle: 80, Requests in queue: 5, Servers: 10
Clock cycle: 81, Requests in queue: 5, Servers: 10
Clock cycle: 82, Requests in queue: 5, Servers: 10
Clock cycle: 83, Requests in queue: 5, Servers: 10
Clock cycle: 84, Requests in queue: 5, Servers: 10
Clock cycle: 85, Requests in queue: 5, Servers: 10
Clock cycle: 86, Requests in queue: 5, Servers: 10
Clock cycle: 87, Requests in queue: 5, Servers: 10
Clock cycle: 89, Requests in queue: 6, Servers: 10
Clock cycle: 90, Requests in queue: 6, Servers: 10
Clock cycle: 91, Requests in queue: 6, Servers: 10
Clock cycle: 92, Requests in queue: 6, Servers: 10
Clock cycle: 93, Requests in queue: 6, Servers: 10
Clock cycle: 94, Requests in queue: 6, Servers: 10
Clock cycle: 95, Requests in queue: 6, Servers: 10
Clock cycle: 96, Requests in queue: 6, Servers: 10
Clock cycle: 97, Requests in queue: 6, Servers: 10
Clock cycle: 98, Requests in queue: 6, Servers: 10
Clock cycle: 99, Requests in queue: 6, Servers: 10
Clock cycle: 100, Requests in queue: 6, Servers: 10
Clock cycle: 101, Requests in queue: 6, Servers: 10
Clock cycle: 102, Requests in queue: 6, Servers: 10
Clock cycle: 103, Requests in queue: 6, Servers: 10
Clock cycle: 105, Requests in queue: 7, Servers: 10
Clock cycle: 106, Requests in queue: 7, Servers: 10
